index,title,href,body,date
26,"Insyani on Twitter: ""Ganjar pemimpin yang peduli dengan rakyat # ...",https://twitter.com/Ins_T4nce/status/1612381323540434944,Ganjar pemimpin yang peduli dengan rakyat #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab . 09 Jan 2023 09:30:38,1/9/2023
27,"Relawan Ganjar JBI🏋🏻‍♀️ on Twitter: ""Ganjar sosok pemimpin yang dekat ...",https://twitter.com/ganjar_jbi/status/1612691999244656640,Ganjar sosok pemimpin yang dekat dengan rakyat #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab . 10 Jan 2023 06:05:09,1/10/2023
28,"Primus on Twitter: ""Mantap ! Dukung Ganjar maju Pilpres 2024 # ...",https://twitter.com/primusanggarata/status/1612676495297908736,Maju terus pak ganjar pranowo untuk pilpres 2024. Leonardo Kikil @KikilLeonardo · Jan 10. Replying to . @primusanggarata. Pak ganjar pranowo untuk kemajuan bangsa Indonesia menjadi lebih baik. PusatKotaMedan ... Pak Ganjar masih favorit masyarakat capres 2024! Hamba Maba,1/10/2023
29,Ganjar Pranowo on Twitter,https://twitter.com/ganjarpranowo/status/1612703616275709952,"Ganjar Pranowo. @ganjarpranowo. Pemikiran, perkataan dan perbuatan yang menyatu dengan rakyat itulah perjuangan yang kita lalui. 50 tahun sudah ... Persatuan dengan Jiwa Gotong Royong dan Semangat Api Perjuangan nan Tak Kunjung Padam demi Persatuan Indonesia untuk Indonesia Raya! Merdeka! 16. 20. 140. RofX ... Terima kasih PDIP, Terima kasih ...",1/10/2023
30,"Jara_Mbojo on Twitter: ""Dimata saya__Pak Ganjar ini tdk punya Track ...",https://twitter.com/umaralims/status/1612621510518407169,"Dimata saya__Pak Ganjar ini tdk punya Track Record kepemimpinan scr nasional, aplg internasional. Utk mengukur kualitas kecerdasan pemimpin adalah track record. Lalu, ada apa dan knp sosok Ganjar yg disodorkan di pilpres 2024.",1/10/2023
31,"FARIZ BASTIAN ARDHANI on Twitter: ""Menurut Analisis Gue GANJAR gak ...",https://twitter.com/ArdhaniFariz/status/1612888821225648128,"Menurut Analisis Gue GANJAR gak Punye TRACK RECORD Kepemimpinan Secara NASIONAL & INTERNASIONAL GANJAR NOL PRESTASI,Padahal utk MENGUKUR KECERDASAN Pemimpin TRACK RECORD & PRESTASINYA Tapi kenapa PILPRES 2024 sama OLIGARKI yg disodorkan GANJAR Bro? Ada apa dgn GANJAR Bro?🤣😁🤣😁 . 10 Jan 2023 19:07:15",1/10/2023
32,"Pengarang Puisi™ on Twitter: ""Kalo menurut gue, loe yg kepedean soal ...",https://twitter.com/pengarang_sajak/status/1612838461635178496,"Kalo menurut gue, loe yg kepedean soal rambut putih pasti Ganjar.. 1. Pak Bas.. 2. Mas Budiman.. 3. Mas Pramono Anum kl ga di cat.. 4. Aria Bima.. Dll dll.. Yg di luar PDIP masih banyak.. Jokowi bilang ciri2 pemimpin yg mikirin rakyat ada yg rambutnya smp putih, berkerut.. 10 Jan 2023 15:47:09",1/10/2023
33,"Jatim Dukung Ganjar🇮🇩💞 on Twitter: ""Makin kesini makin jelas siapa itu ...",https://twitter.com/JatimDkgGanjar/status/1612792122943635457,Makin kesini makin jelas siapa itu tokoh partai yg DISUKAI akar rumput Tinggal elite partai yg legowo dan bs lapangdada menerima permintaan rakyat Rakyatlah yg merasakan sentuhan pemimpin #GANTARI🇮🇩 . 10 Jan 2023 12:43:00,1/10/2023
34,"CNN Indonesia on Twitter: ""Pidato Mega di HUT PDIP: Sinyal Dukung Puan ...",https://twitter.com/CNNIndonesia/status/1612998957617270784,"Pidato Mega di HUT PDIP: Sinyal Dukung Puan, Peringatan untuk Ganjar. Translate Tweet. cnnindonesia.com. ... Pidato Megawati pada HUT PDIP ke-50 dinilai sebagai sinyal akan mengusung Puan pada Pilpres 2024, sekaligus peringatan bagi Ganjar yang bermanuver politik. 2:24 AM · Jan 11, 2023. 26.7K. Views. 14. Retweets. 2. Quote Tweets. 43. Likes ...",1/11/2023
35,"DPP PSI on Twitter: ""Dukungan untuk Mas Ganjar Pranowo merupakan ...",https://twitter.com/psi_id/status/1612999733307641856,"Dukungan untuk Mas Ganjar Pranowo merupakan pengakuan dari PSI bahwa senior kami, PDIP, telah menghasilkan para pemimpin hebat. Translate Tweet. 1:54. 230.9K views. 2:27 AM · Jan 11, 2023. 853.5K. Views. 449. ... Bingung..cara konsolidasi dan komunikasi anggota partai dalam nentukan capres gimana hingga jadi gini wkkw. 1. 1.",1/11/2023
36,PDIP Terima Maaf PSI yang Mengaku Naif Usung Ganjar Capres 2024 - Twitter,https://twitter.com/CNNIndonesia/status/1613076877232734208,PDIP Terima Maaf PSI yang Mengaku Naif Usung Ganjar Capres 2024. 11 Jan 2023 07:34:31,1/11/2023
37,"Lambe Waras on Twitter: ""Geger! Nama dan Ciri2 Ganjar Sama Sekali Tidak ...",https://twitter.com/abu_waras/status/1613040977278832641,"Nama dan Ciri2 Ganjar Sama Sekali Tidak Disebut Megawati di HUT PDIP, dan Tidak Diistimewakan, Bukti Bahwa Mega Sama Sekali Tidak Memperhitungkan Ganjar. Lalu Siapa Capres PDIP Sebenarnya? Translate Tweet. 5:11 AM · Jan 11, 2023. 306.7K. Views. 295. Retweets. 35. Quote Tweets. 1,907. Likes. Sempol",1/11/2023
38,"CNN Indonesia on Twitter: ""PSI Minta Maaf ke Megawati Usung Ganjar ...",https://twitter.com/CNNIndonesia/status/1612993659431186433,PSI Minta Maaf ke Megawati Usung Ganjar Capres: Kami Awam dan Naif. 11 Jan 2023 02:03:51,1/11/2023
39,"muchlis a rofik on Twitter: ""Efek pencalonan Jokowi pada PDIP.. Jelang ...",https://twitter.com/muchlis_ar/status/1612999856708268034,"Efek pencalonan Jokowi pada PDIP.. Jelang Pilpres 2014, pencalonan Jokowi menambah elektabilitas PDIP 18%. Jika Jokowi tidak dicalonkan, elektabilitas PDIP turun 6,5%. Di Pilpres 2019, Jokowi mengerek elektabilitas PDIP 12%. #KASIHANJokowi. 11 Jan 2023 02:28:28",1/11/2023
