index,title,href,body,date
29,"Glad Kir on Instagram: ""Ganjar seorang pemimpin visioner #ganjarpranowo ...",https://www.instagram.com/p/CnWPrepyq6T/,"0 Likes, 0 Comments - Glad Kir (@glad_kir) on Instagram: ""Ganjar seorang pemimpin visioner #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia…""",1/12/2023
30,"Fix Ganjar on Instagram: ""Pemimpin bijaksana jadi panutan kaum pemuda",https://www.instagram.com/p/CnS_E7DStCs/,"20 Likes, 0 Comments - Fix Ganjar (@fixganjar) on Instagram: ""Pemimpin bijaksana jadi panutan kaum pemuda. . . . . . . . . . . . . . . . . #ganjar #jokowidodo…""",1/12/2023
31,"Lensa Ganjar on Instagram: ""Pemimpin yang terus mencari solusi dan tak ...",https://www.instagram.com/p/CnV5_wgy3RV/,"27 Likes, 0 Comments - Lensa Ganjar (@lensa_ganjar) on Instagram: ""Pemimpin yang terus mencari solusi dan tak mau menyalahkan orang ataupun alam",1/12/2023
32,"@ganjar_official.88 on Instagram: ""Indonesia butuh pemimpin seperti Pak ...",https://www.instagram.com/p/CnWKdVqrI-M/,"6 Likes, 5 Comments - @ganjar_official.88 on Instagram: ""Indonesia butuh pemimpin seperti Pak Ganjar #ganjarpranowo #ganjar_pranowo #ganjarkita…""",1/12/2023
33,lensa_ganjar on Instagram: Pak Ganjar Suami dan Pemimpin Idaman,https://www.instagram.com/p/CnTHbNYor3N/,Meghan Trainor • Made You Look (Joel Corry Remix) | 🇮🇩• Effect,1/12/2023
34,"Ganjar Post on Instagram: ""Pemimpin yang terus mencari solusi dan tak ...",https://www.instagram.com/p/CnVj2scv-7O/,"19 Likes, 1 Comments - Ganjar Post (@ganjarpost) on Instagram: ""Pemimpin yang terus mencari solusi dan tak mau menyalahkan orang ataupun alam. . . . . . . . . . .…""",1/12/2023
35,Pemimpin Indonesia Prediksi Kiky Saputri - Instagram,https://www.instagram.com/p/CnYXggmLBOI/,liputan6 • Original audio,1/13/2023
36,"Lensa Ganjar on Instagram: ""Pemimpin yang terus mencari solusi dan tak ...",https://www.instagram.com/p/CnV5_wgy3RV/,"27 Likes, 0 Comments - Lensa Ganjar (@lensa_ganjar) on Instagram: ""Pemimpin yang terus mencari solusi dan tak mau menyalahkan orang ataupun alam",1/13/2023
37,"@ganjar_official.88 on Instagram: ""Indonesia butuh pemimpin seperti Pak ...",https://www.instagram.com/p/CnWKdVqrI-M/,"6 Likes, 5 Comments - @ganjar_official.88 on Instagram: ""Indonesia butuh pemimpin seperti Pak Ganjar #ganjarpranowo #ganjar_pranowo #ganjarkita…""",1/13/2023
38,"Glad Kir on Instagram: ""Ganjar seorang pemimpin visioner #ganjarpranowo ...",https://www.instagram.com/p/CnWPrepyq6T/,"0 Likes, 0 Comments - Glad Kir (@glad_kir) on Instagram: ""Ganjar seorang pemimpin visioner #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia…""",1/13/2023
39,"Ganjar Post on Instagram: ""Pemimpin yang terus mencari solusi dan tak ...",https://www.instagram.com/p/CnVj2scv-7O/,"19 Likes, 1 Comments - Ganjar Post (@ganjarpost) on Instagram: ""Pemimpin yang terus mencari solusi dan tak mau menyalahkan orang ataupun alam. . . . . . . . . . .…""",1/13/2023
40,"Ganjar Pranowo RI1 🇮🇩 on Instagram: ""Lembaga survey Surabaya Survei ...",https://www.instagram.com/p/Cna0sKUJqXs/,"644 Likes, 41 Comments - Ganjar Pranowo RI1 🇮🇩 (@ganjarpranowo.ri1) on Instagram: ""Lembaga survey Surabaya Survei Center (SSC) merilis hasil survei elektabilitas Capres terkait…""",1/14/2023
41,Pemimpin Indonesia Prediksi Kiky Saputri,https://www.instagram.com/p/CnYXggmLBOI/,liputan6 • Original audio,1/14/2023
42,"Sahabat Ganjar Samarinda Official's Instagram post: ""Bukti tanggung ...",https://www.instagram.com/p/CnbOm2hLKQW/,sahabatganjar_samarinda • Original audio,1/14/2023
43,"Ganjar Pranowo RI1 🇮🇩 on Instagram: ""Lembaga survey Surabaya Survei ...",https://www.instagram.com/p/Cna0sKUJqXs/,"644 Likes, 41 Comments - Ganjar Pranowo RI1 🇮🇩 (@ganjarpranowo.ri1) on Instagram: ""Lembaga survey Surabaya Survei Center (SSC) merilis hasil survei elektabilitas Capres terkait…""",1/15/2023
44,"Sahabat Ganjar Samarinda Official's Instagram post: ""Bukti tanggung ...",https://www.instagram.com/p/CnbOm2hLKQW/,sahabatganjar_samarinda • Original audio,1/15/2023
45,reza.lemu on Instagram: Berkat Lapak Ganjar yang di inisiasi Gubernur ...,https://www.instagram.com/p/CnmJvXCqNZs/,reza.lemu • Original audio,1/18/2023
46,"GANJAR SAHABAT RAKYAT on Instagram: ""Gubernur Jawa Tengah Ganjar ...",https://www.instagram.com/p/CoIlLjKJbRK/,"59 Likes, 1 Comments - GANJAR SAHABAT RAKYAT (@ganjarsahabatrakyat) on Instagram: ""Gubernur Jawa Tengah Ganjar Pranowo banyak menerima laporan melalui aplikasi Whatsapp terkait…""",2/1/2023
47,"Sorotan Ganjar on Instagram: ""Pemimpin yg pernah merasakan apa yg ...",https://www.instagram.com/p/CoHPihTpDI4/,BUNDA CORLA • NO COMMENT | jupiter Effect,2/1/2023
48,"Ganjar GO R1 1 on Instagram: ""Pak Ganjar pemimpin yang tulus cinta ...",https://www.instagram.com/p/CoOg7dwLfpu/,"122 Likes, 2 Comments - Ganjar GO R1 1 (@ganjargo_ri1) on Instagram: ""Pak Ganjar pemimpin yang tulus cinta rakyat, pasti akan menjadi pilihan rakyat",2/3/2023
49,"Jagonya Nusantara on Instagram: ""Pak Ganjar pemimpin yang tulus cinta ...",https://www.instagram.com/p/CoOg37qPxZ8/,"96 Likes, 10 Comments - Jagonya Nusantara (@jagonyanusantara) on Instagram: ""Pak Ganjar pemimpin yang tulus cinta rakyat, pasti akan menjadi pilihan rakyat",2/3/2023
50,"Ganjar GO R1 1 on Instagram: ""Pak Ganjar pemimpin yang tulus cinta ...",https://www.instagram.com/p/CoOg7dwLfpu/,"122 Likes, 2 Comments - Ganjar GO R1 1 (@ganjargo_ri1) on Instagram: ""Pak Ganjar pemimpin yang tulus cinta rakyat, pasti akan menjadi pilihan rakyat",2/4/2023
51,"Jagonya Nusantara on Instagram: ""Pak Ganjar pemimpin yang tulus cinta ...",https://www.instagram.com/p/CoOg37qPxZ8/,"96 Likes, 10 Comments - Jagonya Nusantara (@jagonyanusantara) on Instagram: ""Pak Ganjar pemimpin yang tulus cinta rakyat, pasti akan menjadi pilihan rakyat",2/4/2023
52,"GANJAR SAHABAT RAKYAT on Instagram: ""Masyarakat Lampung melakukan ...",https://www.instagram.com/p/CoVkB81PMf8/,"76 Likes, 1 Comments - GANJAR SAHABAT RAKYAT (@ganjarsahabatrakyat) on Instagram: ""Masyarakat Lampung melakukan pernyataan sikap bersama untuk pemberian dukungan kepada Ganjar…""",2/5/2023
53,"Total Politik on Instagram: ""Ketua Umum Relawan Jokowi Mania (JoMan ...",https://www.instagram.com/p/CoWwCUFJg3J/,"Noel menyebut agenda pembubaran relawan Ganjar Pranowo Mania digelar Kamis depan di kawasan Kebayoran Baru, Jakarta Selatan. Noel memastikan tidak lagi menjadi pendukung Ganjar Pranowo. Selain Ganjar, Menhan Prabowo Subianto dan Anies Baswedan merupakan tokoh dengan elektabilitas tertinggi sebagai capres 2024 di sejumlah lembaga survei.",2/6/2023
54,"GANJAR SAHABAT RAKYAT on Instagram: ""Masyarakat Lampung melakukan ...",https://www.instagram.com/p/CoVkB81PMf8/,"76 Likes, 1 Comments - GANJAR SAHABAT RAKYAT (@ganjarsahabatrakyat) on Instagram: ""Masyarakat Lampung melakukan pernyataan sikap bersama untuk pemberian dukungan kepada Ganjar…""",2/6/2023
55,"Total Politik on Instagram: ""Ketua Umum Relawan Jokowi Mania (JoMan ...",https://www.instagram.com/p/CoWwCUFJg3J/,"Noel menyebut agenda pembubaran relawan Ganjar Pranowo Mania digelar Kamis depan di kawasan Kebayoran Baru, Jakarta Selatan. Noel memastikan tidak lagi menjadi pendukung Ganjar Pranowo. Selain Ganjar, Menhan Prabowo Subianto dan Anies Baswedan merupakan tokoh dengan elektabilitas tertinggi sebagai capres 2024 di sejumlah lembaga survei.",2/7/2023
56,orangmudaganjar.kalteng on Instagram: Jangan ragu memilih sosok ...,https://www.instagram.com/p/CoZqOuRgAUz/,orangmudaganjar.kalteng • Original audio,2/7/2023
